flight_id,arrival_time,runway,landing_time,delay
FL1712,0,1,6.0,0.0
FL1023,5,2,10.5,0.0
FL1588,7,1,10.5,0.0
FL1615,8,1,15.0,2.5
FL1578,11,2,15.5,0.0
FL1010,14,1,21.5,1.0
FL1214,16,2,21.0,0.0
FL1170,17,2,24.0,4.0
FL1626,18,1,25.0,3.5
FL2031,21,2,30.0,3.0
FL1494,21,1,28.0,4.0
FL1902,21,1,33.0,7.0
FL1817,22,2,33.0,8.0
FL1194,22,1,36.0,11.0
FL1705,22,2,38.0,11.0
FL1241,22,1,39.0,14.0
FL1389,25,2,44.5,13.0
FL1161,25,1,42.5,14.0
FL1154,28,1,47.5,14.5
FL1678,31,2,48.0,13.5
FL1661,33,1,54.0,14.5
FL1927,36,2,54.5,12.0
FL1294,44,1,57.5,10.0
FL1279,44,2,60.0,10.5
FL1506,45,1,62.5,12.5
FL2050,47,2,62.5,13.0
FL1076,50,1,65.0,12.5
FL2108,53,2,67.0,9.5
FL1412,58,1,68.5,7.0
FL1542,60,2,71.0,7.0
FL1550,61,1,73.0,7.5
FL1853,61,2,76.5,10.0
FL2027,65,1,79.0,8.0
FL1559,69,2,80.0,7.5
FL1508,75,1,82.5,4.0
FL1133,75,2,85.5,5.0
FL1751,79,1,87.0,3.5
FL1281,82,2,90.0,3.5
FL1889,83,1,93.5,4.0
FL1811,85,2,94.5,5.0
FL1827,88,1,98.0,5.5
FL1306,89,2,99.5,5.5
FL1059,91,1,101.0,7.0
FL2173,93,2,102.0,6.5
FL1567,93,1,104.0,8.0
FL1517,93,2,107.0,9.0
FL1053,97,1,108.0,7.0
FL1144,97,2,113.0,10.0
FL1062,98,1,112.5,10.0
FL1577,101,1,116.5,11.5
FL1844,101,2,117.5,12.0
FL1158,101,1,122.5,15.5
FL1038,102,2,122.0,15.5
FL1162,104,2,126.5,18.0
FL2089,104,1,128.0,18.5
FL2101,105,2,129.0,21.5
FL1250,106,1,131.0,22.0
FL1920,106,2,134.5,23.0
FL1441,107,1,136.0,24.0
FL1580,109,2,141.0,25.5
FL1782,109,1,140.0,27.0
FL1067,109,1,145.5,31.0
FL1863,110,2,147.0,31.0
FL1617,111,1,151.5,34.5
FL1492,114,2,151.5,33.0
FL1792,116,1,158.0,35.5
FL1810,124,2,156.0,27.5
FL1903,124,2,159.5,32.0
FL1908,125,1,161.5,33.0
FL1396,126,2,164.0,33.5
FL1301,126,1,164.5,35.5
FL2141,127,2,170.5,37.0
FL1392,129,1,167.0,35.5
FL1125,131,1,170.5,36.0
FL1235,132,1,175.5,38.5
FL1092,132,2,176.5,38.5
FL2046,134,1,180.5,41.5
FL1531,138,2,179.0,38.5
FL1112,138,2,182.5,41.0
FL1414,140,1,187.0,40.5
FL1373,141,2,186.5,41.5
FL1400,141,2,189.0,45.5
FL1119,142,1,189.5,45.0
FL2070,142,2,195.5,47.0
FL2034,143,1,192.5,46.5
FL1210,145,1,198.0,47.5
FL1256,146,2,198.0,49.5
FL1157,148,1,202.0,50.0
FL1234,151,2,202.0,47.0
FL1796,152,1,204.5,50.0
FL1732,152,2,205.0,50.0
FL1737,153,1,208.0,51.5
FL2073,154,2,209.5,51.0
FL2020,154,1,212.0,54.0
FL1875,157,2,213.5,52.5
FL1181,163,1,218.0,49.0
FL1403,164,2,218.0,49.5
FL1141,164,1,223.5,54.0
FL1648,168,2,222.0,50.0
FL1440,170,2,227.0,52.0
FL1069,173,1,226.5,50.5
FL1380,173,1,232.0,53.5
FL1632,174,2,232.5,53.0
FL1334,177,1,237.0,55.0
FL1603,177,2,236.5,55.5
FL1610,183,2,243.0,53.5
FL1746,185,1,240.5,52.0
FL1663,185,1,247.0,55.5
FL2148,188,2,249.5,55.0
FL1290,191,1,253.5,56.0
FL1485,192,2,253.0,57.5
FL1660,195,2,255.5,58.0
FL2091,195,1,259.5,58.5
FL1488,196,2,260.5,59.5
FL1742,197,1,266.0,62.5
FL1397,200,2,264.5,60.5
FL1630,203,2,267.5,61.5
FL2052,204,1,269.5,62.0
FL1530,207,2,272.5,60.5
FL1558,208,1,273.0,61.5
FL1266,210,2,279.0,62.5
FL1433,210,1,277.0,63.0
FL1681,211,1,280.5,66.0
FL1509,215,2,281.5,64.0
FL1848,216,1,286.5,64.5
FL2199,216,2,284.0,65.5
FL1895,217,2,286.5,67.0
FL2029,217,1,292.5,69.5
FL1233,218,2,293.0,68.5
FL1971,219,1,298.0,73.5
FL1877,219,2,299.5,74.0
FL1344,223,1,304.0,75.0
FL1036,228,2,302.0,71.5
FL1826,229,2,305.5,73.0
FL1108,229,1,309.0,75.0
FL2057,230,2,308.5,75.5
FL1097,232,2,311.5,76.5
FL1104,233,1,313.0,76.0
FL2044,233,2,318.0,78.5
FL1295,233,1,317.0,80.0
FL1969,234,1,323.0,83.0
FL1088,235,2,324.5,83.0
FL1575,237,1,329.0,86.0
FL1304,239,2,329.5,85.5
FL1724,239,1,334.0,90.0
FL1208,241,2,332.5,88.5
FL1922,243,2,339.0,89.5
FL2002,244,1,337.0,90.0
FL1799,247,1,341.0,90.0
FL1172,247,2,345.0,92.0
FL1354,247,1,346.5,94.0
FL1404,248,2,350.5,97.0
FL1772,248,1,352.0,98.5
FL1474,253,2,357.0,97.5
FL1645,256,1,358.0,96.0
FL1518,258,2,362.0,99.0
FL1345,261,1,363.0,97.0
FL1259,263,2,365.5,99.0
FL1065,266,1,367.0,97.0
FL1954,268,2,371.0,97.5
FL1934,269,1,371.5,98.0
FL2076,269,2,376.5,102.0
FL1996,272,1,374.5,99.5
FL2068,272,1,379.0,102.5
FL1455,273,2,382.5,103.5
FL1522,276,1,383.0,103.0
FL1025,281,2,387.5,101.5
FL1372,282,1,385.5,101.0
FL1788,286,1,391.0,99.5
FL1333,291,2,390.5,96.5
FL1695,292,2,396.5,98.5
FL1473,293,1,396.5,98.0
FL1425,294,1,402.5,102.5
FL1252,297,2,402.0,99.5
FL1924,298,2,407.5,104.0
FL1385,298,1,409.0,104.5
FL1688,304,2,412.5,103.5
FL1246,305,1,413.0,104.0
FL1763,306,2,415.0,106.5
FL1288,308,1,417.0,105.0
FL1236,311,2,418.0,104.0
FL1885,312,1,423.0,105.0
FL2055,314,2,420.5,104.0
FL1726,314,2,423.5,106.5
FL1106,314,1,427.5,109.0
FL1483,316,2,430.0,107.5
FL1769,318,1,430.5,109.5
FL1656,319,2,435.5,111.0
FL1363,321,1,435.0,109.5
FL1174,323,1,439.5,112.0
FL2062,323,2,438.0,112.5
FL1985,328,2,441.0,110.0
FL1469,329,1,444.0,110.5
FL1978,331,2,446.5,110.0
FL1750,331,1,447.5,113.0
FL1592,331,2,452.0,115.5
FL1163,332,1,450.0,115.5
FL1668,335,1,454.0,115.0
FL1541,336,2,455.5,116.0
FL1800,337,1,457.0,117.0
FL1028,337,2,462.0,118.5
FL1496,337,1,463.5,120.0
FL1033,341,2,465.5,121.0
FL1825,342,1,469.0,121.5
FL1657,343,2,468.5,122.5
FL1368,344,2,475.0,124.5
FL1476,344,1,472.5,125.0
FL1251,353,1,478.0,119.5
FL2107,353,2,477.5,122.0
FL2033,356,2,483.0,121.5
FL2145,357,1,484.0,121.0
FL1467,357,2,489.5,126.0
FL1128,359,1,490.0,125.0
FL1839,359,2,494.0,130.5
FL2146,361,1,494.0,129.0
FL1516,365,1,500.0,129.0
FL1247,365,2,498.5,129.0
FL1639,368,2,505.0,130.5
FL1048,369,1,503.5,131.0
FL1622,369,1,509.5,134.5
FL1606,370,2,511.0,135.0
FL1689,370,1,516.0,139.5
FL1167,373,2,514.0,138.0
FL1756,374,2,517.5,140.0
FL1417,377,1,521.0,139.0
FL1685,379,2,523.0,138.5
FL1842,380,1,525.5,141.0
FL2159,381,2,527.0,142.0
FL1949,381,1,531.5,144.5
FL1812,381,2,531.5,146.0
FL2123,381,1,536.5,150.5
FL2153,383,2,537.5,148.5
FL1539,386,1,541.5,150.5
FL1930,387,2,543.0,150.5
FL1343,387,1,545.0,154.5
FL1513,388,2,545.5,155.0
FL1015,392,1,548.5,153.0
FL1874,394,2,551.5,151.5
FL1894,396,1,554.0,152.5
FL1034,397,2,555.0,154.5
FL1064,399,1,556.5,155.0
FL1248,401,2,558.5,154.0
FL1362,401,1,561.0,155.5
FL1175,401,2,564.5,157.5
FL1207,403,1,566.0,158.0
FL1546,404,2,568.0,160.5
FL2065,404,1,570.0,162.0
FL2026,405,2,572.5,163.0
FL1620,406,1,575.0,164.0
FL1702,406,2,575.0,166.5
FL2158,412,1,580.0,163.0
FL1787,412,2,581.5,163.0
FL1422,414,1,586.0,166.0
FL1757,417,2,587.5,164.5
FL1995,418,1,590.5,168.0
FL1841,421,2,590.0,166.5
FL1189,426,2,594.5,164.0
FL1332,427,1,595.0,163.5
FL1263,428,2,600.5,166.5
FL1427,431,1,598.5,164.0
FL2180,432,1,603.0,166.5
FL2183,434,2,607.0,166.5
FL1420,440,1,606.5,163.0
FL1721,440,1,609.0,166.5
FL1652,441,2,611.0,166.0
FL2177,442,1,614.5,167.0
FL1984,446,2,616.5,165.0
FL1532,450,1,617.5,164.5
FL1491,452,2,620.0,164.5
FL1554,455,1,622.5,162.5
FL1444,456,2,625.5,164.0
FL1061,458,1,625.0,164.5
FL2179,460,1,629.5,165.0
FL1609,460,2,628.5,165.5
FL1260,461,2,632.0,167.5
FL2035,462,1,634.0,167.5
FL1990,463,2,638.5,169.0
FL1716,467,1,638.0,167.0
FL1145,469,1,643.5,169.0
FL1446,471,2,642.5,167.5
FL1814,472,2,648.0,170.5
FL1942,474,1,650.0,169.5
FL1310,474,2,653.5,174.0
FL1003,477,1,653.5,173.0
FL1897,478,1,656.5,175.5
FL2112,478,2,660.0,175.5
FL1591,481,1,659.0,175.5
FL1783,484,1,664.0,175.0
FL1545,487,2,665.5,173.0
FL1041,489,1,666.5,175.0
FL1201,491,2,672.0,174.5
FL1643,491,1,670.5,175.5
FL2133,495,1,674.0,175.5
FL1050,512,2,677.0,160.0
FL1116,514,1,680.0,160.0
FL1228,515,2,681.0,162.0
FL1267,517,1,685.5,163.0
FL1981,517,2,686.5,164.0
FL1789,518,1,691.0,167.5
FL2143,520,2,689.5,166.5
FL1497,521,2,696.0,168.5
FL1818,522,1,695.5,169.0
FL2104,525,1,698.5,170.5
FL1203,526,2,701.5,170.0
FL1953,527,1,703.0,171.5
FL1893,531,2,704.5,170.5
FL1222,531,1,705.5,172.0
FL1111,532,2,707.0,172.5
FL1813,532,1,711.5,173.5
FL1919,535,2,709.5,172.0
FL1728,535,2,712.0,174.5
FL1888,535,1,717.0,176.5
FL1793,536,2,716.5,176.0
FL1356,536,2,721.0,180.5
FL1884,537,1,720.5,180.0
FL2186,540,1,727.0,180.5
FL1305,542,2,725.0,179.0
FL1296,543,2,729.5,182.0
FL1413,544,1,729.5,183.0
FL1815,545,1,732.0,184.5
FL1421,546,2,733.5,183.5
FL1892,546,1,737.5,186.0
FL1830,546,2,739.5,187.5
FL1093,549,1,740.5,188.5
FL2166,550,2,745.5,189.5
FL1619,551,1,743.0,189.5
FL1791,554,1,745.5,189.0
FL1968,557,1,748.0,188.5
FL1438,558,2,750.5,187.5
FL2105,559,1,752.5,189.0
FL2000,562,2,754.5,188.5
FL1177,566,1,758.5,186.5
FL2096,568,2,761.0,186.5
FL2195,569,1,761.5,189.5
FL1576,570,2,766.5,191.0
FL1045,575,1,766.5,186.5
FL2149,580,1,771.0,186.5
FL1017,581,2,773.0,185.5
FL1209,589,1,776.0,182.0
FL1240,589,2,777.0,184.0
FL1801,589,1,779.5,187.0
FL2080,594,2,783.0,183.0
FL2095,596,1,783.0,183.5
FL1459,596,1,788.0,187.0
FL1105,597,2,787.5,186.0
FL1808,598,2,791.0,189.5
FL1285,598,1,793.5,190.0
FL1687,600,2,796.0,191.0
FL1736,602,1,800.0,191.5
FL2039,603,2,798.5,193.0
FL2111,603,2,801.0,195.5
FL2140,605,1,804.0,195.0
FL2007,605,2,804.0,196.0
FL1463,607,1,807.5,197.0
FL1794,609,2,810.5,195.0
FL1858,611,1,810.0,196.5
FL1766,612,1,815.0,198.0
FL1014,612,2,814.0,198.5
FL1359,613,2,817.5,201.0
FL1543,618,1,818.0,197.0
FL1654,619,2,821.5,198.5
FL1230,620,1,822.0,198.0
FL1261,623,2,824.0,198.5
FL1107,623,1,828.0,199.0
FL2079,627,2,829.0,197.0
FL1470,627,1,834.0,201.0
FL2109,628,2,832.0,201.0
FL1525,629,2,837.5,203.0
FL1166,629,1,837.5,205.0
FL1211,634,1,842.5,203.5
FL1529,636,2,841.0,201.5
FL2032,640,2,846.5,201.0
FL1590,641,1,845.0,201.5
FL2136,641,1,849.5,204.0
FL1694,643,2,850.5,203.5
FL1004,647,1,855.0,202.5
FL1445,647,2,857.0,203.5
FL1358,647,1,860.5,208.0
FL1109,647,2,863.0,210.0
FL1979,649,1,866.0,211.5
FL1286,653,2,869.0,210.0
FL1650,656,1,871.0,210.0
FL1882,657,2,875.0,212.0
FL1771,658,1,874.5,213.0
FL1164,660,1,879.0,214.5
FL1948,661,2,880.0,214.0
FL1468,662,1,882.5,217.0
FL2191,664,2,886.0,216.0
FL1670,665,1,887.0,217.5
FL1725,666,2,891.5,220.0
FL1743,667,1,892.5,220.0
FL2036,668,2,896.0,223.5
